parent_company,tCO2e_2023_attributed
CENTENNIAL RESOURCE DEVELOPMENT INC,2187407
ODYSSEY ENERGY ALTURA COGEN LLC,2163678
HARVEST PIPELINE CO,2143504
INDORAMA VENTURES USA HOLDINGS LP,2122160
GENESIS ENERGY LP,2091867
PLATTE RIVER POWER AUTHORITY,2088076
OLD DOMINION ELECTRIC COOPERATIVE,2081716
CITY UTILITIES OF SPRINGFIELD MISSOURI,2079461
CPV POWER HOLDINGS LP,2063519
COLORADO SPRINGS UTILITIES,2022429
GOLDEN SPREAD ELECTRIC COOPERATIVE INC,2020429
VICINITY ENERGY INC,2014034
LIBERTY UTILITIES CO,2008023
ANTERO MIDSTREAM LLC,1997300
CRICKET VALLEY ENERGY CENTER LLC,1968352
PLATINUM EQUITY LLC,1953011
WESTERN MINNESOTA MUNICIPAL POWER AGENCY,1939957
CAERUS OIL & GAS LLC,1924985
DAIRYLAND POWER COOPERATIVE,1920541
PLUM POINT ENERGY ASSOCIATES LLC,1919433
SABIC US HOLDINGS LP,1907812
HOLLYFRONTIER PUGET SOUND REFINING LLC,1900999
TITAN AMERICA LLC,1877969
LINCOLN ELECTRIC SYSTEM,1863628
CIVITAS RESOURCES INC,1842782
OVINTIV INC,1831810
LOUISIANA GENERATING LLC,1811263
AMERICAN CRYSTAL SUGAR CO,1807213
SAN MIGUEL ELECTRIC COOPERATIVE INC,1802760
TEXGEN POWER LLC,1801739
NEW YORK POWER AUTHORITY,1787545
SACRAMENTO MUNICIPAL UTILITY DISTRICT FINANCING AUTHORITY,1786495
SUNFLOWER ELECTRIC POWER CORP,1779962
CELANESE CORP,1710686
RUMPKE CONSOLIDATED COS INC,1691066
DT Midstream INC,1686277
HANSON LEHIGH INC,1675186
TENASKA FRONTIER PARTNERS LTD,1662556
ARES CAPITAL CORP,1655660
IRON SENERGY HOLDING LLC,1649110
PAR PACIFIC HOLDINGS INC,1644604
SCOUT ENERGY MANAGEMENT LLC,1624028
LSB INDUSTRIES INC,1623983
LEA POWER PARTNERS LLC,1600257
"Reorganized Heritage TopCo, LLC",1589532
