metric,company,year,value
CDP+Scope_2_Emissions,170741,2014,5511
CDP+Scope_2_Emissions,170744,2014,8831
CDP+Scope_2_Emissions,170750,2014,33540
CDP+Scope_2_Emissions,170755,2014,162311
CDP+Scope_2_Emissions,170759,2014,Unknown
CDP+Scope_2_Emissions,170772,2014,3643
CDP+Scope_2_Emissions,170775,2014,51500
CDP+Scope_2_Emissions,795247,2014,257327
CDP+Scope_2_Emissions,837829,2014,922843
CDP+Scope_2_Emissions,965698,2014,61975
CDP+Scope_2_Emissions,965750,2014,291722
CDP+Scope_2_Emissions,1182714,2014,286337
CDP+Scope_2_Emissions,2432965,2014,7058
CDP+Scope_2_Emissions,2624287,2014,1587100
CDP+Scope_2_Emissions,2637516,2014,438018
CDP+Scope_2_Emissions,3400266,2014,53898
